epoch,train_loss,train_ce,train_dice_loss,val_loss,val_ce,val_dice_loss,val_dice,val_miou,epoch_time
1,0.7442634513503626,0.1986944391594259,0.5455690111590004,0.6090478167950528,0.0926127561087747,0.5164350595289063,0.4837971215064709,0.5026823370597626,528.3776795864105
2,0.5672187825539325,0.0656400008311122,0.5015787804776172,0.5153549915378534,0.0404716904446916,0.4748832971146963,0.5280059186311868,0.6320193981720152,526.4620516300201
3,0.487024477726865,0.029810247800054,0.4572142295449944,0.4459872645081825,0.0211723288973268,0.4248149325546709,0.5876811158198577,0.6530674742035244,534.4332385063171
4,0.4053528294283707,0.015921140657196,0.3894316885940256,0.3358336959070372,0.0109862300467867,0.3248474667373213,0.7036541883762066,0.6965112069901747,535.2291271686554
5,0.3146588041318971,0.0116217481819457,0.3030370556416604,0.2839010557503376,0.0106287847354429,0.2732722712951956,0.7524881294140449,0.6966832615816773,534.8642191886902
6,0.2575326874260537,0.0108710370860247,0.2466616502869272,0.2381337849260534,0.0095572135167069,0.2285765704599399,0.7994198375023328,0.7287441359932791,534.5681340694427
7,0.2328977792464465,0.0106315281619863,0.2222662513606106,0.2319156605641818,0.0104375661676297,0.2214780953323956,0.7963073735053723,0.7246036024776507,535.3122296333313
8,0.2269677935187065,0.0109940454794226,0.2159737480644374,0.2360540181398391,0.0122742874511671,0.223779730426455,0.7872399641917303,0.7125999906485456,527.859048128128
9,0.2142386944863054,0.0108173395012998,0.2034213550092991,0.2129781612204116,0.0099398292402185,0.2030383302170096,0.8129690163410627,0.7371812605377174,528.7506213188171
10,0.21080990471393,0.0108988854169006,0.199911019368405,0.2057072021139478,0.0095270989503422,0.1961801017372353,0.8202236718856372,0.74511812495132,534.1513798236847
11,0.2026450954246939,0.0104386972477152,0.1922063979415682,0.2023934778368588,0.0099960585459343,0.192397419688771,0.8217463928919572,0.7446968270650914,533.7206435203552
12,0.1951683242758005,0.0101850201012024,0.1849833046630479,0.191379157663549,0.0096143927578859,0.1817647658505486,0.8345542607399133,0.758648157958876,528.3858394622803
13,0.1897692196449524,0.0099362905721144,0.1798329292792252,0.1923395804699184,0.0097417842316468,0.1825977968938142,0.8316044348936814,0.7568520386927078,537.1129679679871
14,0.1831448594261294,0.0097678256152749,0.1733770336360702,0.1987921358312218,0.0104213995741481,0.188370735899916,0.8229164561400046,0.7472256777135331,528.9576408863068
15,0.1808567794997826,0.009657607758882,0.1711991720472566,0.1845236827158233,0.0099061412592102,0.1746175416464944,0.8357972571483026,0.7607645363241992,529.636974811554
16,0.1891309448130023,0.0101717295291096,0.1789592152267061,0.1978973171954016,0.0107020062272373,0.1871953114722539,0.8170933597362958,0.7400006546549085,538.9643003940582
17,0.1867702111312887,0.009982901246206,0.1767873096994416,0.1780165777478403,0.0093053290236162,0.168711249689454,0.8413717838434073,0.7666016185783684,528.3768532276154
18,0.181479331130026,0.0099345971245425,0.1715447339104593,0.1745987464357348,0.0096797931790171,0.164918952775233,0.8404190425689404,0.7652856125825855,535.1070168018341
19,0.1821637941818488,0.0098778183026142,0.1722859759520075,0.1735034662398319,0.0086008785179481,0.1649025863814122,0.851295108978565,0.7769645650821668,529.3162217140198
20,0.175766353544436,0.0095921393318552,0.1661742141922645,0.2054612898421519,0.0102831963834,0.1951780921047173,0.8232949777291372,0.7471187711517782,539.4309360980988
21,0.1746595710006887,0.0094447783469665,0.1652147926782307,0.175200710742219,0.0097490395894002,0.1654516701559418,0.8441677678089875,0.7693238108158299,530.8759100437164
22,0.1682902930626028,0.0092841541498429,0.1590061388077388,0.1730076559249637,0.0093684851517448,0.163639170452229,0.8478060949307221,0.7727252344966863,528.606146812439
23,0.1710753339520782,0.0094103519538192,0.1616649820313669,0.1740684162065821,0.0096584210461638,0.1644099950790405,0.8458559054594773,0.7705976677220329,529.6633214950562
24,0.1636395130378717,0.0090600871203668,0.1545794261679645,0.2047648163675104,0.0130216208856227,0.1917431950569152,0.8082139010612781,0.7312176163701144,532.4673891067505
25,0.1601489913320497,0.0089034285373333,0.1512455625437193,0.1891284116263528,0.0109390826913916,0.1781893285732824,0.8351539774582937,0.7608068615101191,530.3061301708221
26,0.1596205499253664,0.0085717841435915,0.1510487657284582,0.1834458509116497,0.0109632312708977,0.1724826190078142,0.8349381925968024,0.7606792528798109,530.738707780838
27,0.154921210855108,0.0085127342602845,0.1464084766578146,0.163565727402863,0.0085426293295419,0.1550230979919433,0.8544632288125845,0.781733480021601,532.6584227085114
28,0.1555159302808461,0.0086057946053789,0.1469101358758885,0.162994808363683,0.0086751135961306,0.1543196948986609,0.8596931650088384,0.7872440947554658,542.1256322860718
29,0.1505422883169142,0.0082185120431023,0.1423237762953105,0.1671391184468871,0.0092387091305143,0.1579004086337043,0.8533573265259082,0.7788032729612543,538.8181686401367
30,0.1500926315096497,0.0081832253550233,0.1419094061257106,0.1598073423487468,0.0085691637269139,0.1512381787438994,0.8581633246861972,0.785779685839606,531.178703546524
31,0.1449848324927266,0.0080676885285833,0.1369171440876531,0.1652007114540026,0.00846312012867,0.1567375920351269,0.8587899895814749,0.7864796227087716,529.9256684780121
32,0.1569025807997636,0.0087306797299112,0.1481719010974782,0.1775310642800285,0.0101661633799594,0.1673649011306392,0.839833955352123,0.764898785944708,529.5711784362793
33,0.1534053129819071,0.0085697633434441,0.1448355495984754,0.1731304290514548,0.0092185427054979,0.163911886006883,0.847100609770188,0.7722236047895391,530.9364850521088
34,0.1544681204515591,0.0084869962751896,0.1459811244534873,0.1754311058417107,0.0106548035756947,0.1647763026570811,0.8445326491044118,0.771632452231368,530.2555809020996
35,0.150391373360256,0.0082311946206441,0.1421601787718599,0.1615718429528393,0.008419552451741,0.1531522910571792,0.8579873648973612,0.785041720082589,530.1515591144562
36,0.1500845396700328,0.008211480458985,0.1418730590702314,0.1682365598898489,0.0091393830308925,0.1590971773110547,0.8542985480565292,0.7804505214745686,532.190502166748
